algorithm,seed,scenario,power_model,pue_model,n_vms,n_vms_rejected,total_energy_dc_kj,total_compute_energy_kj,total_cooling_energy_kj,avg_pue,avg_dc_util,avg_active_hosts,sla_violation_rate,sla_violations_abs
Random,9,medium,linear,linear,34,0,3643.782836864872,2211.998757909133,1431.7840789557388,1.6828890268989853,0.195184955168358,3.216666666666667,0.06666666666666667,4
PABFD,0,high,linear,linear,33,0,3077.6975329979737,1862.27638196109,1215.421151036885,1.6950804020043233,0.17486599665946115,2.55,0.26666666666666666,16
PABFD,1,high,linear,linear,42,0,4221.207231234988,2620.695918052764,1600.5113131822245,1.6494782313274712,0.2508696144542153,3.5166666666666666,0.45,27
PABFD,2,high,linear,linear,43,0,2570.50815957761,1526.4850122909338,1044.0231472866753,1.7137238875232297,0.14379352079461755,2.0833333333333335,0.26666666666666666,16
PABFD,3,high,linear,linear,38,0,3392.265946571906,2070.0276578822027,1322.2382886897055,1.6833302602353106,0.19444956627448204,2.8333333333333335,0.1,6
PABFD,4,high,linear,linear,30,0,2532.459108285645,1502.8029295682916,1029.6561787173528,1.7163552300479676,0.13940794992005406,2.0833333333333335,0.03333333333333333,2
PABFD,5,high,linear,linear,45,0,4694.588229109392,2954.489741118794,1740.0984879905986,1.6283900287645785,0.2860166187257025,3.9166666666666665,0.5,30
PABFD,6,high,linear,linear,39,0,4119.188021967365,2555.59175578643,1563.5962661809315,1.6513786938015074,0.24770217699748726,3.3833333333333333,0.48333333333333334,29
PABFD,7,high,linear,linear,37,0,3283.406426737089,1982.2994714645217,1301.106955272568,1.685077836503942,0.1915369391600967,2.6333333333333333,0.45,27
PABFD,8,high,linear,linear,28,0,2975.5065466425763,1764.2673483194537,1211.2391983231223,1.7033036279645053,0.16116062005915802,2.4833333333333334,0.08333333333333333,5
PABFD,9,high,linear,linear,34,0,2827.6710056102247,1695.639366032563,1132.0316395776624,1.704262292663049,0.15956284556158556,2.316666666666667,0.13333333333333333,8
D_PABFD_NL,0,high,linear,linear,33,0,3077.6975329979737,1862.27638196109,1215.421151036885,1.6950804020043233,0.17486599665946115,2.55,0.26666666666666666,16
D_PABFD_NL,1,high,linear,linear,42,0,4221.207231234988,2620.695918052764,1600.5113131822245,1.6494782313274712,0.2508696144542153,3.5166666666666666,0.45,27
D_PABFD_NL,2,high,linear,linear,43,0,2570.50815957761,1526.4850122909338,1044.0231472866753,1.7137238875232297,0.14379352079461755,2.0833333333333335,0.26666666666666666,16
D_PABFD_NL,3,high,linear,linear,38,0,3412.0370983724624,2082.0276578822027,1330.0094404902613,1.6833302602353106,0.19444956627448204,2.8666666666666667,0.1,6
D_PABFD_NL,4,high,linear,linear,30,0,2552.8851134812976,1514.8029295682916,1038.0821839130056,1.7163552300479676,0.13940794992005406,2.1166666666666667,0.03333333333333333,2
D_PABFD_NL,5,high,linear,linear,45,0,4744.993805643458,2984.489741118794,1760.5040645246647,1.6283900287645785,0.2860166187257025,4.0,0.5,30
D_PABFD_NL,6,high,linear,linear,39,0,4108.90792466656,2549.59175578643,1559.3161688801265,1.6513786938015074,0.24770217699748726,3.3666666666666667,0.45,27
D_PABFD_NL,7,high,linear,linear,37,0,3261.570021591484,1970.2994714645217,1291.270550126963,1.685077836503942,0.1915369391600967,2.6,0.4166666666666667,25
D_PABFD_NL,8,high,linear,linear,28,0,2975.5065466425763,1764.2673483194537,1211.2391983231223,1.7033036279645053,0.16116062005915802,2.4833333333333334,0.08333333333333333,5
D_PABFD_NL,9,high,linear,linear,34,0,2847.726169784173,1707.639366032563,1140.0868037516111,1.704262292663049,0.15956284556158556,2.35,0.03333333333333333,2
SpreadFit,0,high,linear,linear,33,0,3226.3230496210217,1952.27638196109,1274.0466676599333,1.6950804020043233,0.17486599665946115,2.8,0.1,6
SpreadFit,1,high,linear,linear,42,0,4551.752287057239,2824.6959180527633,1727.0563690044755,1.6494782313274712,0.2508696144542153,4.083333333333333,0.08333333333333333,5
SpreadFit,2,high,linear,linear,43,0,2732.684867536778,1622.4850122909338,1110.1998552458435,1.7137238875232297,0.14379352079461755,2.35,0.15,9
