algorithm,seed,scenario,n_vms,n_vms_rejected,total_energy_dc_kj,total_compute_energy_kj,total_cooling_energy_kj,avg_pue,min_pue,max_pue,avg_active_hosts,sla_violation_rate,sla_violations_abs,migration_count
Random,7,medium,37,0,4349.205636995518,2670.0159419401343,1679.1896950553844,1.6566648953399854,1.4672060454001556,1.7761950068430052,3.8333333333333335,0.25,15,0
Random,8,medium,28,0,3890.181982417278,2337.796845593867,1552.3851368234111,1.680244794934015,1.60284978834525,1.8,3.5,0.0,0,0
Random,9,medium,34,0,3643.782836864872,2211.998757909133,1431.7840789557388,1.6828890268989851,1.5260116112473547,1.8,3.216666666666667,0.06666666666666667,4,0
D_PABFD,0,medium,33,0,3751.486972929006,2305.003817048164,1446.483155880843,1.6705551314390932,1.4859797856225563,1.8,3.1666666666666665,0.21666666666666667,13,0
D_PABFD,1,medium,42,0,5036.813587243805,3188.62001379493,1848.1935734488743,1.6157088873561194,1.4525720715613866,1.7772712209120998,4.25,0.5166666666666667,31,0
D_PABFD,2,medium,43,0,3022.0538787941905,1816.2185442168184,1205.8353345773705,1.696197939531465,1.5270036423279814,1.784264611465158,2.45,0.36666666666666664,22,0
D_PABFD,3,medium,38,0,4144.5367928046435,2572.6119969402716,1571.9247958643732,1.653487555895525,1.4548420731285725,1.8,3.4833333333333334,0.15,9,0
D_PABFD,4,medium,30,0,3172.254946356941,1904.4079476127858,1267.846998744155,1.6930657835985796,1.5465865058548223,1.8,2.6166666666666667,0.03333333333333333,2,0
D_PABFD,5,medium,45,1,5765.203926406506,3721.5325608648154,2043.6713655416909,1.5844963821261315,1.3755974605981771,1.7675275176430862,4.95,0.65,39,0
D_PABFD,6,medium,39,0,5103.757124150469,3241.859644954263,1861.897479196206,1.6117933727828593,1.4521839458858619,1.8,4.3,0.5666666666666667,34,0
D_PABFD,7,medium,37,0,4004.7377482960123,2460.0159419401352,1544.7218063558785,1.6566648953399854,1.4672060454001556,1.7761950068430052,3.25,0.4,24,0
D_PABFD,8,medium,28,0,3620.827055079147,2175.7968455938676,1445.0302094852805,1.680244794934015,1.60284978834525,1.8,3.05,0.13333333333333333,8,0
D_PABFD,9,medium,34,0,3424.2554465713856,2079.9987579091335,1344.256688662252,1.6828890268989851,1.5260116112473547,1.8,2.85,0.03333333333333333,2,0
PABFD_PUE15,0,high,33,0,3077.6975329979737,1862.27638196109,1215.421151036885,1.6950804020043233,1.5688162834197266,1.8,2.55,0.26666666666666666,16,0
PABFD_PUE15,1,high,42,0,4221.207231234988,2620.695918052764,1600.5113131822245,1.6494782313274712,1.4753008506492868,1.7772712209120998,3.5166666666666666,0.45,27,0
PABFD_PUE15,2,high,43,0,2570.50815957761,1526.4850122909338,1044.023147286675,1.7137238875232297,1.5829272120050069,1.8,2.0833333333333335,0.26666666666666666,16,0
PABFD_PUE15,3,high,38,0,3392.265946571906,2070.0276578822027,1322.2382886897055,1.6833302602353106,1.4548420731285725,1.8,2.8333333333333335,0.1,6,0
PABFD_PUE15,4,high,30,0,2532.459108285645,1502.8029295682916,1029.6561787173528,1.7163552300479676,1.5946160286466007,1.8,2.0833333333333335,0.03333333333333333,2,0
PABFD_PUE15,5,high,45,0,4694.588229109392,2954.489741118794,1740.0984879905984,1.6283900287645785,1.4869360241772602,1.7675275176430862,3.9166666666666665,0.5,30,0
PABFD_PUE15,6,high,39,0,4119.188021967365,2555.59175578643,1563.5962661809315,1.6513786938015074,1.516327819675994,1.8,3.3833333333333333,0.48333333333333334,29,0
PABFD_PUE15,7,high,37,0,3283.406426737089,1982.2994714645217,1301.106955272568,1.685077836503942,1.5170599901271697,1.7761950068430052,2.6333333333333333,0.45,27,0
PABFD_PUE15,8,high,28,0,2975.5065466425763,1764.2673483194537,1211.2391983231223,1.7033036279645053,1.6168811867687298,1.8,2.4833333333333334,0.08333333333333333,5,0
PABFD_PUE15,9,high,34,0,2827.6710056102247,1695.639366032563,1132.0316395776624,1.704262292663049,1.5260116112473547,1.8,2.316666666666667,0.13333333333333333,8,0
PABFD_PUE12,0,high,33,0,3077.6975329979737,1862.27638196109,1215.421151036885,1.6950804020043233,1.5688162834197266,1.8,2.55,0.26666666666666666,16,0
PABFD_PUE12,1,high,42,0,4221.207231234988,2620.695918052764,1600.5113131822245,1.6494782313274712,1.4753008506492868,1.7772712209120998,3.5166666666666666,0.45,27,0
PABFD_PUE12,2,high,43,0,2570.50815957761,1526.4850122909338,1044.023147286675,1.7137238875232297,1.5829272120050069,1.8,2.0833333333333335,0.26666666666666666,16,0
PABFD_PUE12,3,high,38,0,3392.265946571906,2070.0276578822027,1322.2382886897055,1.6833302602353106,1.4548420731285725,1.8,2.8333333333333335,0.1,6,0
PABFD_PUE12,4,high,30,0,2532.459108285645,1502.8029295682916,1029.6561787173528,1.7163552300479676,1.5946160286466007,1.8,2.0833333333333335,0.03333333333333333,2,0
PABFD_PUE12,5,high,45,0,4694.588229109392,2954.489741118794,1740.0984879905984,1.6283900287645785,1.4869360241772602,1.7675275176430862,3.9166666666666665,0.5,30,0
PABFD_PUE12,6,high,39,0,4119.188021967365,2555.59175578643,1563.5962661809315,1.6513786938015074,1.516327819675994,1.8,3.3833333333333333,0.48333333333333334,29,0
