seed,scenario,algorithm,t_lookahead,p_accuracy,total_energy_j,energy_kwh,sla_violation_rate,total_migrations,total_vms,idle_time_saved_s,idle_energy_saved_j
8,medium,PABFD,300,0.75,2252312.940023928,0.62564248333998,0.005,6,36,0.0,0.0
8,medium,FFD,300,0.75,2246312.940023928,0.6239758166733134,0.0033333333333333335,2,36,0.0,0.0
8,medium,P_PABFD_EWA,300,0.75,2252312.940023928,0.62564248333998,0.005,2,36,0.0,0.0
8,medium,P_PABFD_AR3,300,0.75,2264312.940023929,0.6289758166733136,0.005,2,36,0.0,0.0
8,medium,P_PABFD_Oracle,300,0.75,2252312.940023928,0.62564248333998,0.005,19,36,1350.0,135000.0
8,high,PABFD,300,0.75,1902253.4947467148,0.5284037485407541,0.013333333333333334,1,36,0.0,0.0
8,high,FFD,300,0.75,1908253.4947467148,0.5300704152074208,0.013333333333333334,1,36,0.0,0.0
8,high,P_PABFD_EWA,300,0.75,1902253.4947467148,0.5284037485407541,0.013333333333333334,3,36,450.0,45000.0
8,high,P_PABFD_AR3,300,0.75,1902253.4947467148,0.5284037485407541,0.013333333333333334,0,36,0.0,0.0
8,high,P_PABFD_Oracle,300,0.75,1902253.494746715,0.5284037485407542,0.015,16,36,2250.0,225000.0
9,low,PABFD,300,0.75,2409988.415289815,0.6694412264693931,0.058333333333333334,1,36,0.0,0.0
9,low,FFD,300,0.75,2415988.4152898164,0.6711078931360601,0.043333333333333335,1,36,0.0,0.0
9,low,P_PABFD_EWA,300,0.75,2421988.415289818,0.6727745598027272,0.043333333333333335,2,36,300.0,30000.0
9,low,P_PABFD_AR3,300,0.75,2421988.415289818,0.6727745598027272,0.043333333333333335,5,36,750.0,75000.0
9,low,P_PABFD_Oracle,300,0.75,2409988.415289815,0.6694412264693931,0.058333333333333334,25,36,3000.0,300000.0
9,medium,PABFD,300,0.75,2432082.462609914,0.6755784618360873,0.043333333333333335,1,36,0.0,0.0
9,medium,FFD,300,0.75,2468082.462609913,0.685578461836087,0.035,1,36,0.0,0.0
9,medium,P_PABFD_EWA,300,0.75,2474082.4626099165,0.6872451285027545,0.035,1,36,150.0,15000.0
9,medium,P_PABFD_AR3,300,0.75,2474082.4626099165,0.6872451285027545,0.035,2,36,300.0,30000.0
9,medium,P_PABFD_Oracle,300,0.75,2444082.4626099146,0.6789117951694207,0.045,20,36,2400.0,240000.0
9,high,PABFD,300,0.75,1993374.111075629,0.5537150308543414,0.02,1,36,0.0,0.0
9,high,FFD,300,0.75,1987374.1110756285,0.5520483641876746,0.04833333333333333,2,36,0.0,0.0
9,high,P_PABFD_EWA,300,0.75,2041374.111075629,0.5670483641876747,0.023333333333333334,2,36,300.0,30000.0
9,high,P_PABFD_AR3,300,0.75,2011374.1110756285,0.5587150308543413,0.02666666666666667,5,36,750.0,75000.0
9,high,P_PABFD_Oracle,300,0.75,1993374.111075629,0.5537150308543414,0.02,20,36,2400.0,240000.0
0,low,P_PABFD_EWA,150,0.5,2624884.2771471217,0.729134521429756,0.058333333333333334,4,31,600.0,60000.0
0,low,P_PABFD_AR3,150,0.5,2624884.2771471217,0.729134521429756,0.058333333333333334,3,31,450.0,45000.0
0,low,P_PABFD_EWA,150,0.75,2642884.2771471217,0.734134521429756,0.058333333333333334,1,31,150.0,15000.0
0,low,P_PABFD_AR3,150,0.75,2624884.2771471217,0.729134521429756,0.058333333333333334,4,31,450.0,45000.0
0,low,P_PABFD_EWA,150,0.9,2642884.2771471217,0.734134521429756,0.058333333333333334,2,31,300.0,30000.0
0,low,P_PABFD_AR3,150,0.9,2642884.2771471217,0.734134521429756,0.058333333333333334,3,31,300.0,30000.0
0,low,P_PABFD_EWA,300,0.5,2624884.2771471217,0.729134521429756,0.058333333333333334,4,31,600.0,60000.0
0,low,P_PABFD_AR3,300,0.5,2624884.2771471217,0.729134521429756,0.058333333333333334,3,31,450.0,45000.0
0,low,P_PABFD_EWA,300,0.75,2642884.2771471217,0.734134521429756,0.058333333333333334,1,31,150.0,15000.0
0,low,P_PABFD_AR3,300,0.75,2624884.2771471217,0.729134521429756,0.058333333333333334,4,31,450.0,45000.0
0,low,P_PABFD_EWA,300,0.9,2642884.2771471217,0.734134521429756,0.058333333333333334,2,31,300.0,30000.0
0,low,P_PABFD_AR3,300,0.9,2642884.2771471217,0.734134521429756,0.058333333333333334,3,31,300.0,30000.0
0,low,P_PABFD_EWA,600,0.5,2624884.2771471217,0.729134521429756,0.058333333333333334,4,31,600.0,60000.0
0,low,P_PABFD_AR3,600,0.5,2624884.2771471217,0.729134521429756,0.058333333333333334,3,31,450.0,45000.0
0,low,P_PABFD_EWA,600,0.75,2642884.2771471217,0.734134521429756,0.058333333333333334,1,31,150.0,15000.0
0,low,P_PABFD_AR3,600,0.75,2624884.2771471217,0.729134521429756,0.058333333333333334,4,31,450.0,45000.0
0,low,P_PABFD_EWA,600,0.9,2642884.2771471217,0.734134521429756,0.058333333333333334,2,31,300.0,30000.0
0,low,P_PABFD_AR3,600,0.9,2642884.2771471217,0.734134521429756,0.058333333333333334,3,31,300.0,30000.0
0,medium,P_PABFD_EWA,150,0.5,2669039.1381693617,0.7413997606026005,0.056666666666666664,1,31,150.0,15000.0
0,medium,P_PABFD_AR3,150,0.5,2669039.1381693617,0.7413997606026005,0.056666666666666664,1,31,150.0,15000.0
0,medium,P_PABFD_EWA,150,0.75,2669039.1381693617,0.7413997606026005,0.056666666666666664,2,31,300.0,30000.0
0,medium,P_PABFD_AR3,150,0.75,2669039.1381693617,0.7413997606026005,0.056666666666666664,4,31,450.0,45000.0
0,medium,P_PABFD_EWA,150,0.9,2669039.1381693617,0.7413997606026005,0.056666666666666664,3,31,450.0,45000.0
0,medium,P_PABFD_AR3,150,0.9,2669039.1381693617,0.7413997606026005,0.056666666666666664,4,31,450.0,45000.0
0,medium,P_PABFD_EWA,300,0.5,2669039.1381693617,0.7413997606026005,0.056666666666666664,1,31,150.0,15000.0
0,medium,P_PABFD_AR3,300,0.5,2669039.1381693617,0.7413997606026005,0.056666666666666664,1,31,150.0,15000.0
0,medium,P_PABFD_EWA,300,0.75,2669039.1381693617,0.7413997606026005,0.056666666666666664,2,31,300.0,30000.0
0,medium,P_PABFD_AR3,300,0.75,2669039.1381693617,0.7413997606026005,0.056666666666666664,4,31,450.0,45000.0
0,medium,P_PABFD_EWA,300,0.9,2669039.1381693617,0.7413997606026005,0.056666666666666664,3,31,450.0,45000.0
0,medium,P_PABFD_AR3,300,0.9,2669039.1381693617,0.7413997606026005,0.056666666666666664,4,31,450.0,45000.0
0,medium,P_PABFD_EWA,600,0.5,2669039.1381693617,0.7413997606026005,0.056666666666666664,1,31,150.0,15000.0
0,medium,P_PABFD_AR3,600,0.5,2669039.1381693617,0.7413997606026005,0.056666666666666664,1,31,150.0,15000.0
0,medium,P_PABFD_EWA,600,0.75,2669039.1381693617,0.7413997606026005,0.056666666666666664,2,31,300.0,30000.0
0,medium,P_PABFD_AR3,600,0.75,2669039.1381693617,0.7413997606026005,0.056666666666666664,4,31,450.0,45000.0
0,medium,P_PABFD_EWA,600,0.9,2669039.1381693617,0.7413997606026005,0.056666666666666664,3,31,450.0,45000.0
